PropHTE (facet),PropModel,HTE,Strength of confounding (x axis),Method (line),Bias (y axis),Variance (y axis)
prop5hte1,prop5,1,0,method3,-75.28731296616941,0.0011967861787519187
prop5hte1,prop5,1,1,method3,-75.02988360854802,0.0018763852687073974
prop5hte1,prop5,1,2,method3,-75.27677865557246,0.004158054727776542
prop5hte0,prop5,0,0,method1,-75.6402189495204,0.0016798953513623121
prop5hte0,prop5,0,1,method1,-75.4430422727212,0.002296991588459989
prop5hte0,prop5,0,2,method1,-75.736269309837,0.006177731381195984
prop5hte0,prop5,0,0,method2,-75.69183754749632,0.0031123111932045222
prop5hte0,prop5,0,1,method2,-75.4452116889245,0.0037099482856591745
prop5hte0,prop5,0,2,method2,-75.77471932756795,0.009206723162581216
prop5hte0,prop5,0,0,method3,-75.64672252861932,0.0010987503036734428
prop5hte0,prop5,0,1,method3,-75.45709324119514,0.0014860340491359017
prop5hte0,prop5,0,2,method3,-75.71611689914458,0.0038361569610708074
